,captions_number,captions_text,captions_type,created_at,language,pagenumber,par_num,paragraph,rank,score,text,title,type
0,0,nan,nan,2014-11-17,dutch,2,8,"Een probleem dus van ons allemaal. En daarmee zijn ook de oplossingen van ons allemaal.  We moeten slachtoffers beter zien, beter helpen gezien te worden, beter helpen. Iedereen die  met slachtoffers te maken heeft - en dat is dus iedereen – heeft daar een rol in. Praat met je  kind over seks, haar grenzen. Zeg dat zij altijd bij je terecht kan, dat hij zich nergens voor  hoeft te schamen. Durf vermoedens serieus te nemen en durf er ook naar te handelen. En praat  ook met je kind over de grenzen van anderen.  ",2,0.10267498089707124,"Een probleem dus van ons allemaal. En daarmee zijn ook de oplossingen van ons allemaal.  We moeten slachtoffers beter zien, beter helpen gezien te worden, beter helpen. Iedereen die  met slachtoffers te maken heeft - en dat is dus iedereen – heeft daar een rol in. Praat met je  kind over seks, haar grenzen. Zeg dat zij altijd bij je terecht kan, dat hij zich nergens voor  hoeft te schamen. Durf vermoedens serieus te nemen en durf er ook naar te handelen. En praat  ook met je kind over de grenzen van anderen.",Bekendmaking Opzij Top-100 Machtige Vrouwen,toespraak
1,0,nan,nan,2014-11-17,dutch,1,6,"Scholen besteden aandacht aan het voorkomen van seksueel geweld. Vaak is dat: voorkom dat  je slachtoffer wordt. Wees weerbaar. Waarom niet voorkom dat je dader wordt? Zien we  daders als een onveranderbaar gegeven? We vinden onszelf in Nederland heel open over seks,  tolerant. Waarom zien we dan toch zoveel over het hoofd?  ",3,0.10257626193580692,"Scholen besteden aandacht aan het voorkomen van seksueel geweld. Vaak is dat: voorkom dat  je slachtoffer wordt. Wees weerbaar. Waarom niet voorkom dat je dader wordt? Zien we  daders als een onveranderbaar gegeven? We vinden onszelf in Nederland heel open over seks,  tolerant. Waarom zien we dan toch zoveel over het hoofd?",Bekendmaking Opzij Top-100 Machtige Vrouwen,toespraak
2,0,nan,nan,2014-11-17,dutch,1,7,"We maken ons heel druk over veroordeelde plegers die terugkeren in de maatschappij. We  willen ze buitensluiten. Weg! Opgelost! Maar die paar beruchte zonderlingen vallen in het  niet bij alle daders. En als we naar alle daders kijken weten we: buitensluiten gaat niet. Zo  gooide laatst een school de deuren op slot toen bleek dat er een ex-zedendelinquent in het  dorp kwam wonen. Maar welke kans is groter, dat deze man een school binnenwandelt en ter  plekke een kind aanrandt, of dat achter die gesloten deuren jongeren slachtoffer worden van  elkaar? Van een conciërge? Van een lerares? Begrijpen we wel waar het gevaar ligt? Willen  we het wel begrijpen?  ",4,0.10255458777330818,"We maken ons heel druk over veroordeelde plegers die terugkeren in de maatschappij. We  willen ze buitensluiten. Weg! Opgelost! Maar die paar beruchte zonderlingen vallen in het  niet bij alle daders. En als we naar alle daders kijken weten we: buitensluiten gaat niet. Zo  gooide laatst een school de deuren op slot toen bleek dat er een ex-zedendelinquent in het  dorp kwam wonen. Maar welke kans is groter, dat deze man een school binnenwandelt en ter  plekke een kind aanrandt, of dat achter die gesloten deuren jongeren slachtoffer worden van  elkaar? Van een conciërge? Van een lerares? Begrijpen we wel waar het gevaar ligt? Willen  we het wel begrijpen?",Bekendmaking Opzij Top-100 Machtige Vrouwen,toespraak
3,0,nan,nan,2014-11-17,dutch,1,5,"Veel slachtoffers praten nooit of pas veel later over wat hen is aangedaan. Ze schamen zich,  voelen zich schuldig, zijn bang niet geloofd te worden. En te vaak is die vrees gegrond. Te  vaak ook zenden slachtoffers wel signalen uit, maar pikken we ze niet op. En als ze zelf niet  praten en wij zien ze niet, hoe kunnen we ze dan helpen? We weten dat slachtoffers die niet   geholpen worden, het risico lopen keer op keer op keer slachtoffer te worden. ",5,0.10202764067149772,"Veel slachtoffers praten nooit of pas veel later over wat hen is aangedaan. Ze schamen zich,  voelen zich schuldig, zijn bang niet geloofd te worden. En te vaak is die vrees gegrond. Te  vaak ook zenden slachtoffers wel signalen uit, maar pikken we ze niet op. En als ze zelf niet  praten en wij zien ze niet, hoe kunnen we ze dan helpen? We weten dat slachtoffers die niet   geholpen worden, het risico lopen keer op keer op keer slachtoffer te worden.",Bekendmaking Opzij Top-100 Machtige Vrouwen,toespraak
4,0,nan,nan,2014-11-17,dutch,1,3,"Bijvoorbeeld omdat ongeveer één op de drie meisjes en één op de vijf jongens slachtoffer  wordt; ongewenst betast, heimelijk gefilmd, stelselmatig misbruikt... Niet allemaal éven  ernstig, wel allemaal een inbreuk op de seksuele integriteit van onze kinderen. Of omdat bij  negen van de tien meldingen bij de politie het slachtoffer de dader kent. De pleger is niet een  man uit de bosjes, maar haar vriend, zijn klasgenoot, zijn buurvrouw, haar vader. Het gevaar  komt niet van buitenaf, maar is, helaas, onderdeel van hoe wij met elkaar omgaan. Of omdat  een kwart van de daders minderjarig is. Kinderen die we thuis en op school opvoeden tot  goede burgers. Schiet die opvoeding dan misschien ergens tekort?  ",6,0.10150214973679188,"Bijvoorbeeld omdat ongeveer één op de drie meisjes en één op de vijf jongens slachtoffer  wordt; ongewenst betast, heimelijk gefilmd, stelselmatig misbruikt... Niet allemaal éven  ernstig, wel allemaal een inbreuk op de seksuele integriteit van onze kinderen. Of omdat bij  negen van de tien meldingen bij de politie het slachtoffer de dader kent. De pleger is niet een  man uit de bosjes, maar haar vriend, zijn klasgenoot, zijn buurvrouw, haar vader. Het gevaar  komt niet van buitenaf, maar is, helaas, onderdeel van hoe wij met elkaar omgaan. Of omdat  een kwart van de daders minderjarig is. Kinderen die we thuis en op school opvoeden tot  goede burgers. Schiet die opvoeding dan misschien ergens tekort?",Bekendmaking Opzij Top-100 Machtige Vrouwen,toespraak
5,0,nan,nan,2014-11-17,dutch,2,10,"Ik doe aanbevelingen aan de overheid. Dit doe ik al acht jaar, over mensenhandel en over  seksueel geweld tegen kinderen. De overheid volgt mijn aanbevelingen meestal op. Maar de  overheid kan het niet alleen. Daarom doe ik een beroep op iedereen. Vooral ook op u, burgers  met macht en invloed. ",8,0.09895086506984746,"Ik doe aanbevelingen aan de overheid. Dit doe ik al acht jaar, over mensenhandel en over  seksueel geweld tegen kinderen. De overheid volgt mijn aanbevelingen meestal op. Maar de  overheid kan het niet alleen. Daarom doe ik een beroep op iedereen. Vooral ook op u, burgers  met macht en invloed.",Bekendmaking Opzij Top-100 Machtige Vrouwen,toespraak
6,0,nan,nan,2014-11-17,dutch,1,1,"Toespraak van de Nationaal Rapporteur Mensenhandel en Seksueel Geweld tegen Kinderen,  mr. C.E. Dettmeijer-Vermeulen  Ter gelegenheid van de Opzij Top-100 Machtige Vrouwen  Amsterdam, 17 november 2014.  ",9,0.09342883032009297,"Toespraak van de Nationaal Rapporteur Mensenhandel en Seksueel Geweld tegen Kinderen,  mr. C.E. Dettmeijer-Vermeulen  Ter gelegenheid van de Opzij Top-100 Machtige Vrouwen  Amsterdam, 17 november 2014.",Bekendmaking Opzij Top-100 Machtige Vrouwen,toespraak
0,0,nan,nan,2016-10-26,english,2,16,"Secondly, we encounter problems, like forced arranged marriages between Syrian refugee girls and  older men, and Roma children that are part of the roam of bandits, that could benefit from being  looked at from a human trafficking perspective. This perspective may provide extra tools to tackle  these problems. ",1,0.062479370609518255,"Secondly, we encounter problems, like forced arranged marriages between Syrian refugee girls and  older men, and Roma children that are part of the roam of bandits, that could benefit from being  looked at from a human trafficking perspective. This perspective may provide extra tools to tackle  these problems.",Vierde bijeenkomst Santa Marta Group,toespraak
1,0,nan,nan,2016-10-26,english,2,13,"Meanwhile, the uncles have been charged with human trafficking; their mere position of power over  their nephew in combination with the uncles’ criminal intent was enough for a conviction.    Imagine that Mohammed would not have had any problem with the work he had to do. Would that  change the criminal liability of the uncles? Is it not about the uncles’ intentions in bringing  Mohammed to the Netherlands, and the fact that they specifically chose their nephew, a minor?  Another example. In recent years, the Netherlands is seeing more and more cases brought to the  judges in which children have been forced to commit criminal offences by their family members.  Theft, burglary, pick-pocketing. Criminal exploitation. Rarely, victims identify themselves as such;  children do not see themselves as victims, but perceive stealing as an entirely normal activity that is  necessary to bring in money for the family. There has never been a child that went to the police by  him or herself. Does the freedom and ability of children matter in these instances? Are we letting a  child down by overlooking his or her free will? I don’t think so. It is more about changing a  perspective: from the autonomy of the child to the evil intentions of the perpetrators. Perpetrators who  deliberately seek out children, to make easy money. What I want to say is this: in these instances, the  autonomy of children can be recognized, without passing off a child’s autonomy. There is no conflict  here. ",2,0.062462969505390244,"Meanwhile, the uncles have been charged with human trafficking; their mere position of power over  their nephew in combination with the uncles’ criminal intent was enough for a conviction.    Imagine that Mohammed would not have had any problem with the work he had to do. Would that  change the criminal liability of the uncles? Is it not about the uncles’ intentions in bringing  Mohammed to the Netherlands, and the fact that they specifically chose their nephew, a minor?  Another example. In recent years, the Netherlands is seeing more and more cases brought to the  judges in which children have been forced to commit criminal offences by their family members.  Theft, burglary, pick-pocketing. Criminal exploitation. Rarely, victims identify themselves as such;  children do not see themselves as victims, but perceive stealing as an entirely normal activity that is  necessary to bring in money for the family. There has never been a child that went to the police by  him or herself. Does the freedom and ability of children matter in these instances? Are we letting a  child down by overlooking his or her free will? I don’t think so. It is more about changing a  perspective: from the autonomy of the child to the evil intentions of the perpetrators. Perpetrators who  deliberately seek out children, to make easy money. What I want to say is this: in these instances, the  autonomy of children can be recognized, without passing off a child’s autonomy. There is no conflict  here.",Vierde bijeenkomst Santa Marta Group,toespraak
2,0,nan,nan,2016-10-26,english,2,17,"Lastly, every child has the right to be regarded as a full human being. A child’s autonomy must be  recognized to the fullest. But so does a child’s vulnerability. The one doesn’t rule out the other.  Thank you very much. ",4,0.06177909310906234,"Lastly, every child has the right to be regarded as a full human being. A child’s autonomy must be  recognized to the fullest. But so does a child’s vulnerability. The one doesn’t rule out the other.  Thank you very much.",Vierde bijeenkomst Santa Marta Group,toespraak
3,0,nan,nan,2016-10-26,english,2,14,"In my latest report, which is also available in English on my website as Vulnerability Up Close, I  outline the vulnerability of seven groups of children. These are very different groups; from Roma  children to Syrian Child Brides and LGBT-teens. After conducting this research, three things stand  out for me.  ",5,0.0615083582443772,"In my latest report, which is also available in English on my website as Vulnerability Up Close, I  outline the vulnerability of seven groups of children. These are very different groups; from Roma  children to Syrian Child Brides and LGBT-teens. After conducting this research, three things stand  out for me.",Vierde bijeenkomst Santa Marta Group,toespraak
4,0,nan,nan,2016-10-26,english,1,4,"At the same time, as I have written in one of my latest reports, children are inherently vulnerable to  human trafficking. That vulnerability is ingrained  into ‘being a child’ and the dependency that  follows with that ‘status’.  ",6,0.06100629760983351,"At the same time, as I have written in one of my latest reports, children are inherently vulnerable to  human trafficking. That vulnerability is ingrained  into ‘being a child’ and the dependency that  follows with that ‘status’.",Vierde bijeenkomst Santa Marta Group,toespraak
