"title","createdAt","type","paragraphs.text","paragraphs.pagenumber","captions.number","captions.text","captions.type","language","docType"
"Embargo tot 18 okt. 2012, 12.30 uur",2012-10-18,"embargo","Toespraak van de Nationaal rapporteur mensenhandel en seksueel geweld tegen kinderen mr. Corinne Dettmeijer-Vermeulen","1","12.5","this is an example caption, because this document has none","image","Dutch","Rapport"
"Embargo tot 18 okt. 2012, 12.30 uur",2012-10-18,"embargo","Ter gelegenheid van de aanbieding van het rapport ‘Mensenhandel. Jurisprudentie mensenhandelzaken 2009 – 2012. Een analyse’ aan minister Opstelten van Veiligheid en Justitie","1","12.5","this is an example caption, because this document has none","image","Dutch","Brief"
"Embargo tot 18 okt. 2012, 12.30 uur",2012-10-18,"embargo","Stel je bent 17, bijna 18, zwakbegaafd, je bent weggestuurd uit je begeleid wonen voorziening en je staat op straat. Je kent uit je kinderbeschermingsverleden nog een jongen in Den Haag en die bel je. Je gaat naar die jongen toe, en je praat samen over de mogelijkheid van prostitutie. Die jongen weet het allemaal meteen te regelen, kent hier en daar nog wat mensen, en dezelfde avond staat je erotische foto al op internet en word je naar klanten toegebracht.","1","12.5","this is an example caption, because this document has none","image","Dutch","Rapport"
"Embargo tot 18 okt. 2012, 12.30 uur",2012-10-18,"embargo","Zo makkelijk kan mensenhandel gaan.","1","12.5","this is an example caption, because this document has none","image","Dutch","Rapport"
"Embargo tot 18 okt. 2012, 12.30 uur",2012-10-18,"embargo","Drie mannen en een vrouw, verdachten, waren hierbij betrokken. Slechts één van die vier wordt veroordeeld voor mensenhandel. Uit mijn analyse blijkt dat ze alle vier hadden kunnen en moeten worden veroordeeld. Waarom gebeurde dat dan niet? Deels omdat hen niet het juiste verwijt was gemaakt, deels omdat de rechtbank ten onrechte aan de instemming van het – toen nog minderjarige – meisje betekenis toekende.","1","12.5","this is an example caption, because this document has none","image","Dutch","Rapport"
"Embargo tot 18 okt. 2012, 12.30 uur",2012-10-18,"embargo","Deze zaak is van eerder dit jaar, maar in de afgelopen paar weken hebben meerdere zaken waarbij zeer jonge kinderen het slachtoffer waren de media gehaald. Kinderen, van soms slechts 14 jaar, die onze bescherming behoeven. Kinderen voor wie prostitutie niet normaal is, 1ook niet in een land waarin volwassen prostitutie legaal is. De instemming van een minderjarige doet er niet toe en toch kom ik te vaak zaken tegen waarin de rechter dit, ten onrechte, anders ziet.","1, 2","12.5","this is an example caption, because this document has none","image","Dutch","Rapport"
"Embargo tot 18 okt. 2012, 12.30 uur",2012-10-18,"embargo","Het Nederlandse prostitutiebeleid klinkt met enige regelmaat door in de vonnissen. Zo kan het een rol spelen dat een slachtoffer al eerder in de prostitutie werkzaam was. Soms zien we dat terug in de strafmotivering alsof dat de dwang minder erg maakt, alsof prostitutie een beroep is waarvan het risico bij het slachtoffer ligt. Soms zien we dat ook bij buitenlandse slachtoffers, die in eigen land al in de prostitutie werkten en hier worden uitgebuit. Bij uitbuiting in de agrarische sector speelt het ook geen rol als een slachtoffer voorheen ook al asperges stak of aardbeien plukte. Waarom voor prostitutie dan wel?","2","12.5","this is an example caption, because this document has none","image","Dutch","Rapport"
"Embargo tot 18 okt. 2012, 12.30 uur",2012-10-18,"embargo","De gedraging om vrouwen uit andere landen in Nederland in de prostitutie te brengen is mensenhandel. Ook als geen dwangmiddel is gebruikt. Toch wordt dit met enige regelmaat door de rechter niet strafbaar geacht omdat bij ons prostitutie legaal is. Ten onrechte.","2","12.5","this is an example caption, because this document has none","image","Dutch","Rapport"
"Embargo tot 18 okt. 2012, 12.30 uur",2012-10-18,"embargo","Het aanpakken van mensenhandel is niet alleen een zaak van politie en justitie. Daar is samenwerking voor nodig. In Nederland werken veel organisaties samen om mensenhandel tegen te gaan, daders op te sporen en slachtoffers te bevrijden uit hun onmenselijke situatie. Dat is een tijdrovende en intensieve aangelegenheid. Maar het aanpakken van mensenhandel stopt niet bij het oppakken van de verdachte en het ontzetten van het slachtoffer. Ook de vervolging en berechting van daders maken onderdeel uit van een succesvolle aanpak. Het mag dan ook niet voorkomen dat een veroordeling achterwege blijft als gevolg van een onjuiste toepassing van de wet.","2","12.5","this is an example caption, because this document has none","image","Dutch","Rapport"
"Embargo tot 18 okt. 2012, 12.30 uur",2012-10-18,"embargo","Naar vervolging en berechting heb ik onderzoek gedaan. Ruim 400 uitspraken in mensenhandelzaken uit de periode 2009 – 2012 heb ik daarvoor bestudeerd. Voor de 138 vonnissen uit 2010 betreft dat ook een cijfermatige analyse. Niettemin betreffen mijn aanbevelingen vooral bevindingen over de manier waarop mensenhandelzaken door de rechter inhoudelijk worden behandeld.","2","12.5","this is an example caption, because this document has none","image","Dutch","Rapport"
"Embargo tot 18 okt. 2012, 12.30 uur",2012-10-18,"embargo","Ik noemde reeds wat voorbeelden, voorbeelden waarin begrippen door verschillende rechters verschillend worden ingevuld. Een gebrek aan eenduidigheid en dat is in feite de 2kernboodschap uit mijn conclusie: Die eenduidigheid moet er wel komen. En wel op drie terreinen.","2, 3","12.5","this is an example caption, because this document has none","image","Dutch","Rapport"
